Department,GivenName,Surname,City,Manager,Name,SamAccountName,Title
Conseil en strategie,Lubor,Kollar,Seoul,CN=Aaron Painter,Lubor Kollar,lubork,Consultant en strategie
Ventes,Luca,Dellamore,Seoul,CN=April Stewart,Luca Dellamore,lucad,Commercial
Ventes,Luis,Bonifaz,Seoul,CN=Arthur Yasinski,Luis Bonifaz,luisb,Commercial
Conseil en gestion de contenu,Magnus,Hedlund,Seoul,CN=Stan Orme,Magnus Hedlund,magnush,Responsable des processus metier
Ventes,Manish,Chopra,Seoul,CN=Lene Aalling,Manish Chopra,manishc,Specialiste des Relations Publiques
Ventes,Marc,Faerber,Seoul,CN=David Simpson,Marc Faerber,marcf,Commercial
Ventes,Marcelo,Truffat,Seoul,CN=Jose Saraiva,Marcelo Truffat,marcelt,Ingenieur senior
Ventes,Marko,Zajc,Seoul,CN=April Stewart,Marko Zajc,markoz,Commercial
Ventes,Maru,Subrmani,Seoul,CN=April Stewart,Maru Subrmani,marus,Commercial
Conseil en gestion de contenu,Mary,Cha,Seoul,CN=Stan Orme,Mary Cha,maryc,Consultant en gestion de contenu
Conseil en gestion de contenu,Matt,Hink,Seoul,CN=Stan Orme,Matt Hink,matth,Consultant en gestion de contenu
Conseil en strategie,Michael,Ludwig,Seoul,CN=Cesar Garcia,Michael Ludwig,michael,Consultant en strategie
Conseil en strategie,Michael,Lund,Seoul,CN=Ellen Adams,Michael Lund,michal1,Consultant en strategie
Ventes,Michael,Ovesen,Seoul,CN=Jose Saraiva,Michael Ovesen,michaeo,Commercial
Conseil en strategie,Michael,Sullivan,Seoul,CN=Brad Sutton,Michael Sullivan,michaes,Consultant en strategie
Conseil en strategie,Mike,Ray,Seoul,CN=David Maman,Mike Ray,miker,Consultant en strategie
Direction generale,Molly,Clark,Seoul,CN=Anna Lidman,Molly Clark,mollyc,Directeur General des Ventes Publicitaires en Ligne et du Marketing d Affiliation
Ventes,Nuno,Farinha,Seoul,CN=David Simpson,Nuno Farinha,nunof,Commercial
Conseil en strategie,Parna,Khot,Seoul,CN=Aaron Painter,Parna Khot,parnak,Consultant en strategie
Ventes,Patricia,Doyle,Seoul,CN=Lene Aalling,Patricia Doyle,patricd,Commercial
Ventes,Pavel,Simsa,Seoul,CN=David Simpson,Pavel Simsa,pavels,Commercial
Conseil en gestion de contenu,Peder,Thode,Seoul,CN=Stan Orme,Peder Thode,pedert,Consultant en gestion de contenu
Conseil en gestion de contenu,Peter,Saddow,Seoul,CN=Stan Orme,Peter Saddow,peters,Consultant en gestion de contenu
Conseil en strategie,Ray,Chow,Seoul,CN=David Maman,Ray Chow,rayc,Consultant en strategie
Conseil en gestion de contenu,Reina,Cabatana,Seoul,CN=Stan Orme,Reina Cabatana,reinac,Consultant en gestion de contenu
Conseil en strategie,Renee,Lo,Seoul,CN=Aaron Painter,Renee Lo,reneel,Consultant en strategie
Conseil en gestion de contenu,Robert,O Hara,Seoul,CN=Stan Orme,Robert O Hara,roberto,Consultant en gestion de contenu
Conseil en gestion de contenu,Robin,Young,Seoul,CN=Stan Orme,Robin Young,robiny,Consultant en gestion de contenu
Conseil en strategie,Roland,Wacker,Seoul,CN=Aaron Painter,Roland Wacker,rolandw,Consultant en strategie
Ventes,Ron,Gabel,Seoul,CN=April Stewart,Ron Gabel,rong,Commercial
Conseil en strategie,Sameer,Tejani,Seoul,CN=Ellen Adams,Sameer Tejani,sameert,Consultant en strategie
Conseil en gestion de contenu,Sanjay,Patel,Seoul,CN=Stan Orme,Sanjay Patel,sanjayp,Consultant en gestion de contenu
Direction,Sanjay,Shah,Seoul,CN=Dan Jump,Sanjay Shah,sanjays,Chef de la Strategie Technique
Ventes,Scott,Gode,Seoul,CN=David Simpson,Scott Gode,scottg,Commercial
Direction generale,Sean,Chai,Seoul,CN=Molly Clark,Sean Chai,seanc,Directeur du Marketing d Affiliation et des Partenariats
Ventes,Shmuel,Yair,Seoul,CN=David Simpson,Shmuel Yair,shmuely,Specialiste Marketing
Conseil en gestion de contenu,Stan,Orme,Seoul,CN=Alan Steiner,Stan Orme,stano,Responsable du conseil en gestion de contenu
Ventes,Steve,Luper,Seoul,CN=Jack Creasey,Steve Luper,stevel,Directeur Regional des Ventes
Conseil en strategie,Steve,Masters,Seoul,CN=Cesar Garcia,Steve Masters,stevem,Consultant en strategie
Direction generale,Tai,Lee,Seoul,CN=Jeff Hay,Tai Lee,tail,President des Services
Ventes,Tina,Lassila,Seoul,CN=Arthur Yasinski,Tina Lassila,tinal,Commercial
Direction generale,Todd,Rowe,Seoul,CN=Diane Prescott,Todd Rowe,toddr,Media Planneur Senior
Direction,Toni,Poe,Seoul,CN=Dan Jump,Toni Poe,tonip,Chef des Partenariats et de la Strategie
Conseil en strategie,Tony,Wang,Seoul,CN=Ellen Adams,Tony Wang,tonyw,Consultant en strategie
Conseil en strategie,Trey,Pratt,Seoul,CN=Cesar Garcia,Trey Pratt,treyp,Consultant en strategie
Conseil en gestion de contenu,Vladimir,Egorov,Seoul,CN=Stan Orme,Vladimir Egorov,vladime,Consultant en gestion de contenu
Conseil en strategie,William,Vong,Seoul,CN=Cesar Garcia,William Vong,williav,Consultant en strategie
Service informatique,Jean-Pierre,Dubois,Seoul,,Jean-Pierre Dubois,jdubois,Directeur des Systemes d Information
Service informatique,Nathalie,Martin,Seoul,Jean-Pierre Dubois,Nathalie Martin,nmartin,Directrice de l Infrastructure
Service informatique,Fatima,Benali,Seoul,Jean-Pierre Dubois,Fatima Benali,fbenali,Directrice de la Securite (RSSI)
Service informatique,Marc,Fournier,Seoul,Nathalie Martin,Marc Fournier,mfournier,Responsable Reseau et Systemes
Service informatique,Lucas,Moreau,Seoul,Fatima Benali,Lucas Moreau,lmoreau,Analyste en Cybersecurite
Service informatique,Antoine,Leroy,Seoul,Marc Fournier,Antoine Leroy,aleroy,Administrateur Systeme
Service informatique,Alexandre,Roux,Seoul,Fatima Benali,Alexandre Roux,aroux,Specialiste Conformite et Gouvernance
